"f_proposer_index","f_slot","f_graffiti","f_pool_name"
272085,4715610,"RP-GN v1.6.2 gw:650471ffa474","rocket_pool"
296823,4715699,"RP-BL v1.6.3 (Ultraviolet)","rocket_pool"
391304,4715415,"","rocket_pool"
331388,4715863,"Rocket Pool ⚡️Allnodes","rocket_pool"
299386,4715742,"RP-GL v1.6.3 gw:687496fff9f0","rocket_pool"
267418,4715762,"RP-GL v1.6.3","rocket_pool"
315097,4715852,"Rocket Pool ⚡️Allnodes","rocket_pool"
388081,4715928,"RP-XL v1.6.3","rocket_pool"
384707,4716062,"RP-GL v1.6.3 gw:660479ffa86d","rocket_pool"
268915,4715934,"RP-GL v1.6.3 (wortels)","rocket_pool"
391308,4715948,"","rocket_pool"
399575,4715968,"RP-XT v1.6.3","rocket_pool"
313256,4715978,"RP-GL v1.6.3","rocket_pool"
315175,4716276,"RP-GL v1.6.3","rocket_pool"
395612,4716210,"RP-GL v1.6.2 (BOOOOTTTSSS)","rocket_pool"
261383,4716230,"Rocket Pool ⚡️Allnodes","rocket_pool"
399080,4716238,"RP-GL v1.6.3","rocket_pool"
271677,4716248,"Rocket Pool ⚡️Allnodes","rocket_pool"
422047,4716315,"RP-XT v1.6.3","rocket_pool"
312071,4716359,"RP-GL v1.6.3","rocket_pool"
260664,4716370,"","rocket_pool"
274291,4716381,"RP-BP v1.6.3 (Pecunia non olet)","rocket_pool"
327918,4716553,"RP-GL v1.6.3","rocket_pool"
325084,4716664,"Rocket Pool ⚡️Allnodes","rocket_pool"
417433,4716867,"RP-GN v1.6.3 (DT)","rocket_pool"
267518,4716908,"RP-GL v1.6.3","rocket_pool"
416914,4716914,"RP-GL v1.6.2","rocket_pool"
312086,4717092,"RP-GL v1.6.3","rocket_pool"
373036,4717126,"RP-BT v1.6.3","rocket_pool"
422070,4717166,"RP-XT v1.6.3","rocket_pool"
267027,4717001,"RP-XL v1.6.2","rocket_pool"
367919,4717629,"RP-XL v1.6.2 (🐼 Merged 🐼)","rocket_pool"
270139,4717326,"Rocket Pool ⚡️Allnodes","rocket_pool"
295892,4717584,"RP-GN v1.6.2 gw:677470ff8e71","rocket_pool"
265533,4717828,"RP-XL v1.6.3 gw:645486ffbe74","rocket_pool"
330321,4717847,"RP-GN v1.6.2 gw:672481ffffff","rocket_pool"
312960,4717656,"RP-BL v1.6.3 (no rulers)","rocket_pool"
393469,4717677,"RP-GL v1.6.3 gw:687473fff9f0","rocket_pool"
358548,4717959,"RP-GP v1.6.3","rocket_pool"
411990,4717968,"RP-XL v1.6.3","rocket_pool"
388076,4718201,"RP-XL v1.6.3","rocket_pool"
411361,4717986,"RP-XT v1.6.3","rocket_pool"
262081,4718041,"RP-GL v1.6.3","rocket_pool"
257559,4718270,"RP-BN v1.6.3","rocket_pool"
349342,4718279,"Avado Teku","rocket_pool"
399285,4718419,"Rocket Pool ⚡️Allnodes","rocket_pool"
418186,4718282,"RP-BL v1.6.3 gw:670468ff9774","rocket_pool"
418250,4718298,"RP-XL v1.6.3 gw:685482ff8865","rocket_pool"
397197,4718612,"Rocket Pool ⚡️Allnodes","rocket_pool"
266993,4718443,"RP-GL v1.6.3","rocket_pool"
267032,4718517,"RP-GN v1.6.3","rocket_pool"
271855,4718525,"RP-NN v1.6.3 (meek was here)","rocket_pool"
405511,4718734,"RP-BL v1.6.3","rocket_pool"
366035,4719066,"Rocket Pool ⚡️Allnodes","rocket_pool"
292378,4718825,"RP-BT v1.6.3 gw:666504ffbc78","rocket_pool"
409866,4718852,"Rocket Pool ⚡️Allnodes","rocket_pool"
287719,4718879,"RP-BL v1.6.3 (no rulers)","rocket_pool"
271084,4718946,"RP-GL v1.6.3","rocket_pool"
268314,4719087,"RP-GL v1.6.3","rocket_pool"
262939,4719274,"RP-GL v1.6.3","rocket_pool"
393356,4719275,"RP-GT v1.6.3","rocket_pool"
395742,4719366,"RP-XT v1.6.3","rocket_pool"
267979,4719198,"RP-NL v1.6.3 gw:661473ffa375","rocket_pool"
411352,4719204,"RP-XT v1.6.3","rocket_pool"
331822,4719210,"Rocket Pool ⚡️Allnodes","rocket_pool"
263380,4719214,"RP-GL v1.6.3","rocket_pool"
312399,4719551,"RP-GL v1.6.3","rocket_pool"
332255,4719501,"RP-GL v1.6.3","rocket_pool"
260904,4719820,"RP-GT v1.6.3","rocket_pool"
263494,4720104,"RP-XT v1.6.3","rocket_pool"
406692,4719736,"RP-GT v1.6.3 (rock001)","rocket_pool"
274606,4719970,"RP-BT v1.6.3 gw:666499ffba7c","rocket_pool"
314066,4720332,"RP-GN v1.6.2 gw:649493ffbe70","rocket_pool"
299567,4720038,"RP-GL v1.6.3","rocket_pool"
267006,4720356,"RP-GL v1.6.3 gw:647469ffd38e","rocket_pool"
405799,4720203,"RP-XT v1.6.3","rocket_pool"
265516,4720625,"RP-XL v1.6.3 gw:658462ffd690","rocket_pool"
376817,4720277,"Avado","rocket_pool"
275887,4720694,"RP-GL v1.6.3 (5353)","rocket_pool"
409861,4720717,"RP-XL v1.6.3","rocket_pool"
368576,4720835,"RP-GL v1.6.2 (all in baby)","rocket_pool"
313222,4720875,"RP-GN v1.6.2 gw:650472ffa879","rocket_pool"
267030,4720577,"RP-BT v1.6.3 gw:674477ffffff","rocket_pool"
405840,4720590,"RP-XT v1.6.3","rocket_pool"
315348,4720976,"RP-GT v1.6.3","rocket_pool"
402293,4721099,"RP-XL v1.6.3 gw:666470ff9d74","rocket_pool"
268009,4721120,"RP-GN v1.6.3","rocket_pool"
271687,4721614,"RP-NN v1.6.3 (meek was here)","rocket_pool"
314198,4721135,"RP-GN v1.6.2 gw:651463fffdf9","rocket_pool"
265503,4721176,"RP-XL v1.6.3 gw:678464ffda9c","rocket_pool"
299466,4721225,"RP-GL v1.6.3","rocket_pool"
273214,4721241,"RP-NN v1.6.3 (meek was here)","rocket_pool"
268140,4721257,"RP-GL v1.6.3","rocket_pool"
308857,4721675,"RP-GL v1.6.3","rocket_pool"
302887,4721720,"RP-GL v1.6.3","rocket_pool"
313365,4721660,"RP-GN v1.6.2 gw:664466ffa575","rocket_pool"
314193,4721796,"RP-GN v1.6.2 gw:651500fff7ee","rocket_pool"
329457,4721939,"RP-GN v1.6.2 gw:665462ff7e3d","rocket_pool"
268314,4721821,"RP-GL v1.6.3","rocket_pool"
332081,4722013,"Rocket Pool ⚡️Allnodes","rocket_pool"
263518,4722221,"RP-GL v1.6.3 (superphiz)","rocket_pool"
276887,4722222,"RP-GL v1.6.3","rocket_pool"
399559,4722431,"RP-XT v1.6.3","rocket_pool"
